Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
SERAC1,SeverAD,Control,7,8,1.16248164138217,3.28127004476404,12.2601827340023,0.006394618451234,0.0733173282972811,0.361098536667005,1.81730870585714,1.600100773375,0,two.sided,Welch Two Sample t-test,0.675445034777526
AGPAT5,SeverAD,Control,7,8,-1.37379701714177,-3.33250879683657,11.3407838289236,0.0064205437861147,-0.75966485245557,-0.156672861830143,3.55363514285714,4.011804,0,two.sided,Welch Two Sample t-test,0.675445034777526
SOCS3,SeverAD,Control,7,8,1.31108788240951,3.29913538459695,11.8774808387265,0.00643267826134947,0.132400474335484,0.649128311378802,5.05958814285714,4.66882375,0,two.sided,Welch Two Sample t-test,0.675445034777526
PCP4L1,SeverAD,Control,7,8,-1.63106575749653,-3.24103596305584,12.994829029084,0.00644132899386456,-1.17630715529911,-0.235322737558037,3.59216542857143,4.297980375,0,two.sided,Welch Two Sample t-test,0.675445034777526
ARPC5L,SeverAD,Control,7,8,-1.76088201865956,-3.26018424275986,12.5763221790144,0.00645296942508884,-1.35907844198612,-0.273518058013883,5.136764,5.95306225,0,two.sided,Welch Two Sample t-test,0.675445034777526
MAP3K21,SeverAD,Control,7,8,-1.34712732441079,-3.42321995433289,10.0615206896235,0.00645519309290864,-0.709463020470563,-0.150309408100865,4.02400828571429,4.4538945,0,two.sided,Welch Two Sample t-test,0.675445034777526
UCHL3,SeverAD,Control,7,8,-1.42046960795831,-3.38674610104584,10.4765370116003,0.00648951829568338,-0.83746462017714,-0.175271308394288,3.24647928571429,3.75284725,0,two.sided,Welch Two Sample t-test,0.675445034777526
ME2,SeverAD,Control,7,8,-1.26291241491616,-3.23682254452251,12.9733287748815,0.006506183489531,-0.561563369268673,-0.111945809302755,1.54682228571429,1.883576875,0,two.sided,Welch Two Sample t-test,0.675445034777526
RASGRF2,SeverAD,Control,7,8,-1.43251319573697,-3.36195404192774,10.7900374228806,0.00650818904247524,-0.858836502883737,-0.178260354259119,4.52712457142857,5.045673,0,two.sided,Welch Two Sample t-test,0.675445034777526
SLC11A1,SeverAD,Control,7,8,1.26624988926154,3.25434927720864,12.5817772727529,0.00652138840927656,0.113716922060242,0.567407363654043,5.88104014285714,5.540478,0,two.sided,Welch Two Sample t-test,0.675445034777526
PARD3B,SeverAD,Control,7,8,1.66714424897204,3.2368077858652,12.9448162169185,0.006522908862279,0.245010823315338,1.22974705332752,3.78997097557143,3.05259203725,0,two.sided,Welch Two Sample t-test,0.675445034777526
TRIM37,SeverAD,Control,7,8,-1.95799580074397,-3.58327606655904,8.45118882279942,0.00653688251797364,-1.58746713992773,-0.351288201750838,6.82331835328571,7.792696024125,0,two.sided,Welch Two Sample t-test,0.675445034777526
ZRANB3,SeverAD,Control,7,8,-1.23500679723562,-3.25693812459507,12.4759093462896,0.00655488750147113,-0.507376268259767,-0.101661696025947,1.58778914285714,1.892308125,0,two.sided,Welch Two Sample t-test,0.675445034777526
SCN4B,SeverAD,Control,7,8,-1.40866333767837,-3.36553667228253,10.676743196198,0.00656043555432979,-0.818803679694382,-0.169850034591332,4.38240714285714,4.876734,0,two.sided,Welch Two Sample t-test,0.675445034777526
PRSS50,SeverAD,Control,7,8,1.31823463265518,3.56734429015899,8.55756375377077,0.00656122951913106,0.143832539401341,0.653381817741516,3.92813142857143,3.52952425,0,two.sided,Welch Two Sample t-test,0.675445034777526
CBR4,SeverAD,Control,7,8,-1.86948735666115,-3.57197725802987,8.51943017953562,0.00656266721562735,-1.47924580656102,-0.326039622010411,6.06118028571429,6.963823,0,two.sided,Welch Two Sample t-test,0.675445034777526
HIVEP1,SeverAD,Control,7,8,-1.42484171584257,-3.53606980688672,8.78690534317418,0.00659804964363506,-0.838792767013317,-0.182810554415255,3.23618571428571,3.746987375,0,two.sided,Welch Two Sample t-test,0.675445034777526
DCN,SeverAD,Control,7,8,1.70908712801384,3.51472274624633,8.96321879291041,0.00661166765215131,0.275248295738399,1.27120359711875,5.81056757142857,5.037341625,0,two.sided,Welch Two Sample t-test,0.675445034777526
ADD2,SeverAD,Control,7,8,-1.42153386080365,-3.39752439456523,10.178839630286,0.00663189118420984,-0.839448633779518,-0.175448294791914,8.33679228571429,8.84424075,0,two.sided,Welch Two Sample t-test,0.675445034777526
ANKRD46,SeverAD,Control,7,8,-1.59022122599658,-3.40591917972215,10.0751726234934,0.0066333527196322,-1.10659108138269,-0.231863882903024,5.48179614285714,6.151023625,0,two.sided,Welch Two Sample t-test,0.675445034777526
